1000000, 0.184278, 0.123407, 5, 1.80907, 0.153186, 0.0245769, 4, 1.45046
5000000, 1.32798, 0.952859, 6, 2.14875, 0.773231, 0.128401, 4, 1.4507
10000000, 3.14243, 2.26456, 7, 2.54326, 1.56176, 0.259112, 4, 1.4508
15000000, 5.09814, 3.99941, 7, 2.79449, 2.38107, 0.389595, 4, 1.45051
20000000, 7.55406, 5.91646, 8, 2.98001, 3.18377, 0.519924, 4, 1.45058
25000000, 10.1651, 8.03292, 8, 3.1265, 3.91918, 0.650195, 4, 1.45085
30000000, 12.9596, 10.2668, 8, 3.24669, 4.50938, 0.780765, 4, 1.45079
35000000, 15.9341, 12.6128, 8, 3.3486, 5.18837, 0.910616, 4, 1.45079
40000000, 19.2973, 15.3432, 9, 3.43709, 5.88561, 1.04151, 4, 1.45041
45000000, 22.5895, 18.0411, 9, 3.51528, 6.59855, 1.17121, 4, 1.45048
50000000, 26.0177, 20.534, 9, 3.58548, 7.31162, 1.3011, 4, 1.45071
55000000, 29.3032, 23.7511, 10, 3.64923, 8.08067, 1.4338, 4, 1.45078
60000000, 32.551, 26.1659, 10, 3.70719, 8.81795, 1.56024, 4, 1.45071
65000000, 36.4145, 29.5536, 10, 3.76072, 9.53618, 1.69016, 4, 1.4508
70000000, 40.3395, 32.3844, 10, 3.80997, 10.7666, 1.84862, 4, 1.45083
75000000, 45.5342, 37.0024, 10, 3.85614, 23.5309, 4.09607, 4, 1.45069
80000000, 69.108, 39.4013, 10, 3.89916, 28.3495, 5.42776, 4, 1.45066
85000000, 60.4241, 42.0336, 10, 3.93875, 43.0481, 4.59938, 4, 1.45076
90000000, 80.709, 45.9174, 11, 3.97348, 74.0767, 4.26905, 4, 1.45068
95000000, 89.7116, 49.89, 10, 4.00017, 92.6459, 8.95696, 4, 1.45085
